Year;Author;http: all links obtained on the 4th of May 2020;Page;n°;Topic;Name Recipe;Ingredient list?;# Words;# OOm (object omissions);# OvO (overt objects);Verb form;Coordination;Referent;where/ how far is the referent?;OvDet? (is there an overt determiner?);Verb;Sentence;;;
2001;Smith;https://www.deliaonline.com/recipes/type-of-dish/preserves/sour-dill-pickles;114;6;Pickles;Sour Dill Pickles;Y;298;7;22;imp;label Ø and store the pickles;the jars;previous sentence;N;label;... label Øa when cold and store the pickles in a cool, dry, dark place to mellow for 3 months before eating Ø.;;;
2001;Smith;https://www.deliaonline.com/recipes/type-of-dish/preserves/sour-dill-pickles;114;7;Pickles;Sour Dill Pickles;Y;298;7;22;Part;N!;the pickles;previous clause;N;eat;... label Ø when cold and store the pickles in a cool, dry, dark place to mellow for 3 months before eating Øa.;;;
2001;Smith;https://www.deliaonline.com/recipes/collections/waist-watchers/low-fat-moist-carrot-cake;138;1;Cake;Low-fat Moist Carrot Cake;Y;292;4;20;imp;pour the mixture and bake Ø;"the mixture in the tin; the cake batter";previous clause coor;N;bake;After that pour the mixture into the prepared tin and bake Ø in the centre shelf of the oven for 35-40 minutes, [...];;;
2001;Smith;https://www.deliaonline.com/recipes/collections/waist-watchers/low-fat-moist-carrot-cake;138;2;Cake;Low-fat Moist Carrot Cake;Y;292;4;20;imp;cover Ø and chill Ø;!the bowl and/or the ingredients;previous clause;N;cover;[While the cake is cooking, make the topping by mixing all the ingredients in a bowl until light and fluffy], then cover Ø1 with clingfilm and chill Ø for 1-2 hours or until needed.;;;
2001;Smith;https://www.deliaonline.com/recipes/collections/waist-watchers/low-fat-moist-carrot-cake;138;3;Cake;Low-fat Moist Carrot Cake;Y;292;4;20;imp;cover Ø and chill Ø;the mixed ingredients;previous clause;N;chill;[While the cake is cooking, make the topping by mixing all the ingredients in a bowl until light and fluffy], then cover Ø with clingfilm and chill Ø2 for 1-2 hours or until needed.;;;
2001;Smith;https://www.deliaonline.com/recipes/collections/waist-watchers/low-fat-moist-carrot-cake;138;4;Cake;Low-fat Moist Carrot Cake;Y;292;4;20;imp;cut it and dust Ø;the finished cake/the cake;beginning of sentence, multiple clauses before;N;dust;! Then, when the cake is completely cold, remove it from the tin, spread the topping over, cut it into 12 squares, and dust Ø with a little more cinnamon.;;context is important for interpretation of object, the final 'it' could also refer to the topping, how do we know it refers to the whole cake? Might be from the picture as well?;
2001;Smith;https://www.deliaonline.com/recipes/occasions/christmas/christmas-cakes-icings-and-toppings/irish-whiskey-christmas-cakes;140-141;1;Cake;Irish Whiskey Christmas Cakes;Y;961;7;80;part;N;the cake;beginning of sentence;N;ice;If you want to keep the cake for any length of time, let the marzipan dry out (covered with a clean tea cloth) for a week before icing Ø.;;;
2001;Smith;https://www.deliaonline.com/recipes/occasions/christmas/christmas-cakes-icings-and-toppings/irish-whiskey-christmas-cakes;140-141;2;Cake;Irish Whiskey Christmas Cakes;Y;961;7;80;imp;stir Ø and bring the mixture;these, along with the rest of the pre-soaking ingredients;previous sentence;N;stir;Now stir Ø and bring the mixture up to simmering point, ...;;;
2001;Smith;https://www.deliaonline.com/recipes/occasions/christmas/christmas-cakes-icings-and-toppings/irish-whiskey-christmas-cakes;140-141;3;Cake;Irish Whiskey Christmas Cakes;Y;961;7;80;imp;N;the mixture;previous clause;N;simmer;then, keeping the heat low, simmer Ø very gently, without a lid, for 15 minutes.;;;
2001;Smith;https://www.deliaonline.com/recipes/occasions/christmas/christmas-cakes-icings-and-toppings/irish-whiskey-christmas-cakes;140-141;4;Cake;Irish Whiskey Christmas Cakes;Y;961;7;80;imp;whisk OR beat Ø;everything/ the flour, sugar, butter, eggs;previous clause, combination;N;beat;[All you need to do is measure out the flour, sugar and butter into a very large bowl, then add the eggs] and either whisk or beat Ø with a wooden spoon until everything is evenly blended.;;;
2001;Smith;https://www.deliaonline.com/recipes/occasions/christmas/christmas-cakes-icings-and-toppings/irish-whiskey-christmas-cakes;140-141;5;Cake;Irish Whiskey Christmas Cakes;Y;961;7;80;imp;N;the cake/cake batter/the mixture;previous clause;N;bake;Bake Ø in the centre of the oven for 3 hours without opening the door, [then cover the cake ...];;;
2001;Smith;https://www.deliaonline.com/recipes/occasions/christmas/christmas-cakes-icings-and-toppings/irish-whiskey-christmas-cakes;140-141;6;Cake;Irish Whiskey Christmas Cakes;Y;961;7;80;imp;press each strip and pinch Ø;the strip;previous clause/coor;N;pinch;Press each strip lightly around the egdes of each cake and pinch Ø to seal at the join with the top piece of marzipan.;;;
2001;Smith;https://www.deliaonline.com/recipes/occasions/christmas/christmas-cakes-icings-and-toppings/irish-whiskey-christmas-cakes;140-141;7;Cake;Irish Whiskey Christmas Cakes;Y;961;7;80;imp;place the egg ... and whisk Ø together;the icing sugar, egg whites and molasses;previous clause/coor;N;whisk;[For the icing, sieve the icing sugar, then place the egg white and molasses (or black treacle) in a large bowl AND, using an electric hand whisk, ] whisk Ø together thoroughly.;;;
